name,code,males,females,u18,adult,over64,male0,male1,male2,male3,male4,male5,male6,male7,male8,male9,male10,male11,male12,male13,male14,male15,male16,male17,male18,female0,female1,female2,female3,female4,female5,female6,female7,female8,female9,female10,female11,female12,female13,female14,female15,female16,female17,female18
Erewash,E07000036,55335,57835,23007,68527,21636,3436,3292,3009,3472,3299,3165,3232,3162,4143,4524,4199,3406,3274,3353,2345,1875,1259,589,301,3235,3075,2868,3329,3258,3549,3488,3420,4300,4648,4061,3381,3309,3508,2533,2226,1778,1133,736
High Peak,E07000037,44858,46253,18424,55605,17082,2479,2595,2493,2886,2769,2395,2300,2348,3379,3771,3562,3145,3035,2918,1869,1378,896,432,208,2412,2419,2601,2711,2515,2346,2472,2526,3382,3892,3647,3027,2922,2952,2138,1652,1264,801,574
North East Derbyshire,E07000038,48703,50578,18499,58202,22580,2532,2499,2570,2982,2633,2524,2354,2494,3379,3841,3689,3471,3329,3671,2553,1935,1275,666,306,2345,2533,2533,2688,2452,2489,2451,2685,3598,3983,3679,3491,3477,3835,2803,2178,1683,1024,651
South Derbyshire,E07000039,48056,49019,21343,59453,16279,2963,3051,3028,3117,2577,2656,2863,3056,3767,4102,3432,2982,2929,2815,1904,1270,896,468,180,2862,2841,2798,2797,2515,2883,3178,3069,3930,3934,3515,3005,2946,2869,1917,1546,1206,779,429
Leicestershire,E10000018,327253,334322,134656,400838,126081,18647,19360,18874,22575,22541,17609,17807,18378,23660,25476,23737,20588,20360,20241,13819,10758,7376,3834,1613,17985,17983,17955,19938,19893,18172,19311,19181,24492,25861,23985,20319,20807,20863,14569,12406,9862,6548,4192
Blaby,E07000129,46724,48368,20024,56669,18399,2777,2908,2689,3151,2603,2573,2623,2731,3494,3630,3443,2916,2813,2897,1972,1603,1080,598,223,2673,2781,2647,2708,2417,2713,2878,2906,3566,3766,3484,2864,2939,3014,2198,1887,1410,948,569
Charnwood,E07000130,85590,85055,32941,108066,29638,4817,4663,4518,6688,9490,5196,4928,4746,5777,5888,5615,4958,4871,4606,3242,2483,1759,910,435,4617,4314,4199,5559,7528,5223,5249,4803,5879,6013,5674,4875,4919,4868,3393,2922,2433,1571,1016
Harborough,E07000131,43386,44064,18633,51457,17360,2312,2751,2839,2820,2080,2002,2003,2346,3374,3725,3410,2897,2796,2861,1905,1494,1001,517,253,2217,2530,2617,2506,1907,1933,2136,2551,3502,3854,3342,2868,2772,2914,1933,1725,1313,858,586
Hinckley and Bosworth,E07000132,52424,54189,21325,64118,21170,3058,3077,2961,3010,2770,2767,2996,3066,3871,4152,3891,3451,3587,3544,2374,1806,1236,592,215,2892,2794,2879,2839,2656,3046,3215,3080,4046,4138,3949,3460,3792,3606,2531,1942,1568,1080,676
Melton,E07000133,24911,25925,10409,30271,10156,1424,1444,1409,1527,1289,1233,1271,1323,1744,2178,1948,1713,1697,1709,1148,857,553,332,112,1441,1373,1412,1498,1251,1252,1362,1428,1901,2180,1978,1705,1699,1664,1180,968,788,510,335
North West Leicestershire,E07000134,47034,47780,19985,56942,17887,2773,2937,2848,2862,2583,2365,2560,2725,3669,3936,3431,2996,3039,3125,2009,1489,989,493,205,2610,2734,2653,2572,2619,2449,2818,2825,3716,3791,3459,2942,3015,3144,2033,1624,1279,918,579
Oadby and Wigston,E07000135,27184,28941,11339,33315,11471,1486,1580,1610,2517,1726,1473,1426,1441,1731,1967,1999,1657,1557,1499,1169,1026,758,392,170,1535,1457,1548,2256,1515,1556,1653,1588,1882,2119,2099,1605,1671,1653,1301,1338,1071,663,431
Lincolnshire,E10000019,353367,371086,140725,423775,159953,20124,18860,19332,21796,21443,19944,19164,18033,23571,25959,25022,22383,23240,25809,18301,13930,9504,4893,2059,19249,18396,18952,21155,21164,20175,20056,19188,25078,27343,26327,23916,24630,26085,19238,15317,12086,7676,5055
Boston,E07000136,32320,33550,13459,38831,13580,2159,1770,1722,1871,1893,2220,2191,1829,2106,2260,2059,1974,1996,2147,1526,1157,846,453,141,2090,1764,1680,1751,1851,2266,2081,1850,2147,2335,2226,2140,2059,2112,1612,1333,1100,711,442
East Lindsey,E07000137,66537,70174,23961,74705,38045,3251,3180,3423,3742,3296,3108,2851,2723,3891,4469,4695,4601,5212,6314,4571,3392,2219,1132,467,3218,3073,3256,3550,3040,3128,2929,3003,4354,4889,5027,5107,5650,6354,4697,3500,2725,1621,1053
Lincoln,E07000138,47032,48591,17900,63670,14053,3093,2471,2196,3302,5890,4039,3413,2801,2925,3041,2880,2364,2324,2179,1473,1106,879,455,201,2822,2316,2100,3674,6327,3819,3449,2615,2847,3011,2989,2470,2392,2142,1581,1407,1235,829,566
North Kesteven,E07000139,53722,56184,22038,63352,24516,2966,2898,3153,3268,2735,2935,2899,2705,3867,4340,3912,3321,3343,3884,2844,2197,1420,719,316,2937,2862,3135,3021,2481,2812,2923,3038,4160,4532,4126,3383,3638,4016,3101,2378,1774,1142,725
South Holland,E07000140,43646,45597,17121,50966,21156,2461,2275,2393,2564,2181,2445,2364,2340,2914,3278,3088,2710,2828,3208,2276,1955,1382,664,320,2321,2171,2307,2410,2181,2453,2462,2518,3013,3359,3130,2921,3000,3261,2527,2114,1723,1058,668
South Kesteven,E07000141,65859,70526,28368,79802,28215,3826,3846,3938,4238,3167,3264,3462,3526,4867,5174,4946,4358,4324,4567,3199,2327,1561,869,400,3692,3866,3969,3966,3137,3636,3908,3886,5281,5481,5201,4613,4598,4789,3272,2675,2097,1423,1036
West Lindsey,E07000142,44251,46464,17878,52449,20388,2368,2420,2507,2811,2281,1933,1984,2109,3001,3397,3442,3055,3213,3510,2412,1796,1197,601,214,2169,2344,2505,2783,2147,2061,2304,2278,3276,3736,3628,3282,3293,3411,2448,1910,1432,892,565
Northamptonshire,E10000021,348386,358261,159224,429990,117433,24022,22486,21172,21818,20032,21122,22754,22266,26148,27282,24360,21004,19775,19808,12979,9731,6508,3588,1531,23058,22322,20152,20435,19353,22029,23546,22832,26695,27572,24708,21041,21230,20543,13535,10844,8482,6011,3873
Corby,E07000150,31446,32766,15210,40043,8959,2447,2088,1892,1881,1883,2297,2465,2067,2257,2391,2317,1848,1578,1392,1015,812,457,260,99,2474,2152,1827,1902,1969,2515,2439,2055,2175,2493,2271,1930,1640,1519,1175,916,707,405,202
Daventry,E07000151,39220,39336,16656,47182,14718,2166,2349,2576,2463,2015,2020,1908,2199,2926,3335,3094,2694,2540,2622,1677,1270,812,389,165,2156,2298,2189,2210,1773,1709,1930,2299,3106,3463,3066,2609,2745,2653,1684,1361,964,684,437
East Northamptonshire,E07000152,43463,44506,19546,51945,16478,2566,2786,2753,3054,2119,2010,2262,2476,3325,3660,3117,2817,2760,2884,1806,1441,880,521,226,2461,2669,2571,2657,1998,2192,2520,2751,3469,3554,3216,2694,3034,2844,1856,1470,1128,817,605
Kettering,E07000153,47020,48728,21594,57644,16510,3305,3061,2834,2799,2590,2736,3125,3095,3665,3690,3213,2724,2713,2754,1806,1311,863,524,212,3161,3050,2764,2684,2451,2976,3134,3132,3774,3728,3123,2787,2924,2892,1892,1487,1197,950,622
Northampton,E07000154,106914,109825,49831,136215,30693,8359,7041,5998,6634,7431,8051,8697,7742,7807,7612,6763,5633,5266,4941,3272,2452,1791,977,447,7837,7166,5953,6447,7510,8435,8737,7340,7546,7652,6913,5848,5628,5223,3534,2914,2370,1698,1074
South Northamptonshire,E07000155,43240,44225,19025,51996,16444,2521,2743,2807,2682,2096,1965,2025,2440,3410,3663,3422,2958,2704,2913,1859,1360,956,507,209,2401,2584,2655,2393,1831,1824,2328,2830,3711,3842,3456,2861,2869,2957,1840,1440,1124,783,496
Wellingborough,E07000156,37083,38875,17362,44965,13631,2658,2418,2312,2305,1898,2043,2272,2247,2758,2931,2434,2330,2214,2302,1544,1085,749,410,173,2568,2403,2193,2142,1821,2378,2458,2425,2914,2840,2663,2312,2390,2455,1554,1256,992,674,437
Nottinghamshire,E10000024,391891,404325,162640,479488,154088,23753,22879,22124,24093,23299,22800,22699,22494,28344,30749,29047,25173,24511,24309,16972,13233,8799,4756,1857,22594,21739,21001,22831,22264,22817,23402,23448,29147,31399,29601,25191,24729,25584,18671,15370,11917,7859,4761
Ashfield,E07000170,59585,61968,26067,73532,21954,3914,3586,3487,3717,3550,3526,3599,3408,4471,4689,4370,3677,3578,3527,2655,1842,1182,578,229,3800,3421,3380,3526,3684,3871,3743,3605,4606,4780,4419,3618,3574,3700,2826,2177,1559,1025,654
Bassetlaw,E07000171,56299,57355,22917,67974,22763,3171,3154,3133,3596,3238,3152,2996,3129,3890,4570,4235,3878,3663,3751,2570,1960,1282,685,246,3126,2941,3076,3436,2899,2959,3016,3123,4135,4583,4310,3694,3788,3797,2806,2214,1673,1072,707
Broxtowe,E07000172,55026,56217,21460,67965,21818,3322,3004,2811,3213,3441,3683,3372,3418,3964,4199,3933,3393,3372,3376,2371,1849,1326,682,297,3071,2865,2656,3113,3130,3502,3466,3292,3975,4270,4075,3401,3484,3685,2562,2161,1688,1132,689
Gedling,E07000173,56032,58786,23263,69057,22498,3377,3318,3257,3411,3181,3097,3331,3248,3997,4334,4206,3572,3584,3398,2396,2026,1328,716,255,3138,3084,3000,3306,3063,3260,3545,3488,4270,4583,4340,3691,3639,3645,2694,2421,1753,1208,658
Mansfield,E07000174,51762,53534,21692,64616,18988,3353,3036,2799,3107,3212,3441,3376,2888,3676,3984,3834,3356,3169,2984,2035,1644,1030,595,243,3333,2886,2550,3084,3118,3576,3478,3014,3610,4073,3948,3334,3073,3093,2326,1894,1611,982,551
Newark and Sherwood,E07000175,57477,59340,23843,69252,23722,3362,3307,3331,3607,3283,3212,3037,3072,4172,4569,4257,3760,3717,3849,2624,2019,1304,721,274,3208,3245,3214,3292,3159,3005,3089,3274,4303,4630,4367,3877,3746,4018,2906,2303,1765,1206,733
Rushcliffe,E07000176,55710,57125,23398,67092,22345,3254,3474,3306,3442,3394,2689,2988,3331,4174,4404,4212,3537,3428,3424,2321,1893,1347,779,313,2918,3297,3125,3074,3211,2644,3065,3652,4248,4480,4142,3576,3425,3646,2551,2200,1868,1234,769
WEST MIDLANDS,E12000005,2803569,2871143,1250946,3416873,1006893,186775,177417,167497,184713,200080,185939,178634,166627,195741,201496,186900,161779,154966,152572,112151,87291,59268,30917,12806,176749,169348,159357,175891,190544,184118,181755,166198,198278,206120,187889,163876,159132,159362,122107,102794,80937,52869,33819
"Herefordshire, County of",E06000019,91808,94279,36060,108055,41972,5062,5111,4997,5423,4897,5342,5240,4770,5948,6866,6713,6060,6198,6402,4659,3635,2576,1381,528,4829,4615,4836,5141,4574,4778,5015,4691,6206,7076,6685,6554,6488,6722,4912,4157,3248,2269,1483
Shropshire,E06000051,152996,155571,60017,179882,68668,7938,8160,8458,9697,9018,8759,8000,7946,10514,11699,11523,10022,10057,10605,7622,5945,4036,2103,894,7487,8015,8391,8932,7176,7596,7856,8027,10523,11804,11204,10350,10747,11191,8382,6634,5294,3526,2436
Stoke-on-Trent,E06000021,124528,125699,55077,154256,40894,8882,7872,6791,7823,9653,9078,8590,7518,8753,8846,8233,7209,6804,6471,4629,3462,2354,1175,385,8524,7745,6619,7414,9546,9037,8456,7165,8528,8371,7862,7297,6717,6618,5013,4192,3349,2053,1193
Telford and Wrekin,E06000020,83524,84928,38953,103108,26391,5824,5401,4993,5780,5833,5202,5373,5229,6307,6423,5609,4815,4693,4314,3169,2238,1383,677,261,5634,5373,5034,5583,5128,5353,5480,4873,6143,6435,5742,4990,4811,4646,3402,2593,1879,1102,727
Staffordshire,E10000028,425309,431698,170229,515896,170882,23771,24065,23592,26667,28110,24715,23832,23860,31160,32989,30769,26979,26643,27408,19939,14710,9352,4853,1895,22328,23014,22431,24623,24099,23598,24165,24190,31100,33506,30929,27593,27397,28481,21141,16893,12834,8186,5190
Cannock Chase,E07000192,48530,49589,20599,60497,17023,2951,2924,2794,3176,2970,3096,2970,2849,3845,3968,3503,2951,2797,2827,1953,1381,896,508,171,2834,2777,2571,2911,2909,3237,3112,2843,3818,3963,3461,2973,2893,2850,2125,1693,1303,827,489
East Staffordshire,E07000193,57129,57793,24947,69329,20646,3737,3410,3368,3583,3413,3598,3771,3336,4209,4434,4200,3519,3273,3197,2313,1757,1151,611,249,3561,3375,3225,3387,3178,3434,3555,3299,4097,4497,4085,3504,3228,3346,2530,2104,1723,1052,613
Lichfield,E07000194,50443,51325,19969,59285,22514,2680,2885,2874,3118,2915,2585,2516,2809,3628,3949,3639,3231,3262,3666,2751,1897,1243,557,238,2560,2686,2664,2725,2348,2424,2705,3012,3712,4024,3654,3327,3322,3921,2942,2075,1519,990,715
Newcastle-under-Lyme,E07000195,62052,63187,23914,77095,24230,3363,3375,3320,4037,5617,3636,3504,3511,4311,4457,4319,3875,3746,3865,2648,2104,1351,734,279,3033,3274,3105,4007,4911,3527,3626,3529,4223,4609,4338,3866,3890,3914,2880,2540,1927,1259,729
South Staffordshire,E07000196,54946,55349,20117,65753,24425,2528,2795,2893,3510,3452,3098,2697,2845,3918,4412,4239,3713,3646,3735,2980,2189,1355,674,267,2404,2631,2869,3107,2767,2603,2561,2846,3861,4421,4356,3818,3880,4033,3039,2494,1770,1143,746
Stafford,E07000197,66423,65669,25177,79596,27319,3552,3645,3400,3960,5052,3944,3659,3683,4705,5135,4759,4138,4197,4243,3214,2391,1561,840,345,3230,3530,3332,3520,3398,3450,3707,3636,4741,5199,4766,4203,4232,4448,3378,2665,1992,1336,906
Staffordshire Moorlands,E07000198,47957,49458,18248,56931,22236,2390,2483,2663,2853,2475,2303,2229,2485,3604,3798,3646,3248,3456,3656,2636,1979,1178,635,240,2298,2447,2511,2634,2324,2196,2342,2641,3613,3966,3579,3416,3579,3728,2641,2181,1657,1019,686
Tamworth,E07000199,37829,39328,17258,47410,12489,2570,2548,2280,2430,2216,2455,2486,2342,2940,2836,2464,2304,2266,2219,1444,1012,617,294,106,2408,2294,2154,2332,2264,2727,2557,2384,3035,2827,2690,2486,2373,2241,1606,1141,943,560,306
Warwickshire,E10000031,270850,277879,111929,329379,107421,16182,15721,15420,16438,17229,15591,16186,16074,19541,20782,19565,16869,16423,16969,11922,9121,6077,3311,1429,15329,15070,14473,15256,16079,15631,16611,16501,20015,21310,19418,16709,16885,17651,12718,10534,8255,5609,3825
North Warwickshire,E07000218,30640,31484,12339,37315,12470,1657,1647,1802,1908,1675,1669,1556,1658,2268,2449,2417,2109,2045,2094,1480,1075,645,337,149,1668,1582,1645,1736,1581,1602,1704,1802,2354,2566,2409,2047,2098,2152,1491,1149,923,589,386
Nuneaton and Bedworth,E07000219,61730,64273,27205,76230,22568,4127,3743,3510,3976,3611,3781,3973,3730,4495,4749,4329,3802,3815,3660,2519,1874,1229,560,247,3914,3693,3494,3775,3700,4112,4164,3723,4460,4825,4256,3859,3819,3881,2805,2265,1784,1089,655
Rugby,E07000220,50456,50917,22492,60206,18675,3266,3176,3075,3227,2479,3020,3186,3236,3851,3880,3675,2989,2759,2895,2196,1553,1068,636,289,3140,2992,2839,2921,2373,3222,3383,3186,3791,3880,3483,2873,2796,3056,2200,1812,1345,932,693
Stratford-on-Avon,E07000221,58728,62039,23118,68402,29247,3050,3284,3397,3462,2485,2705,2725,2954,4017,4664,4478,4041,4129,4587,3159,2565,1684,966,376,2778,3129,3198,3262,2403,2624,2847,3382,4479,4912,4760,4056,4299,4790,3339,2866,2240,1563,1112
Warwick,E07000222,69296,69166,26775,87226,24461,4082,3871,3636,3865,6979,4416,4746,4496,4910,5040,4666,3928,3675,3733,2568,2054,1451,812,368,3829,3674,3297,3562,6022,4071,4513,4408,4931,5127,4510,3874,3873,3772,2883,2442,1963,1436,979
West Midlands (Met County),E11000005,1372884,1410591,663719,1687415,432341,102817,94805,87383,95379,108827,101816,95911,85560,93737,92525,84316,71757,65366,61525,47040,37876,26671,13752,5821,97109,90154,82659,92502,108144,102697,97863,84464,95161,95526,85835,71803,67018,64787,52809,46545,36919,23862,14734
Birmingham,E08000025,538873,553457,280023,669759,142548,43519,40387,37266,39801,48427,42979,40567,35235,35252,33747,30218,25828,22511,19722,15011,12489,9210,4663,2041,41142,38156,34756,39384,49675,43556,41187,34847,35935,35059,31486,25846,23016,21128,17082,15608,12361,8151,5082
Coventry,E08000026,165038,164772,73177,208475,48158,12230,10409,8872,11589,17796,14535,12150,10196,10573,10234,9772,7913,7259,6934,5250,4087,2854,1631,754,11385,10062,8757,11312,16038,13248,11704,9849,10584,10482,9309,8052,7342,7382,5833,5026,3883,2659,1865
Dudley,E08000027,154512,159915,67644,185391,61392,9912,9432,9073,9956,8949,9420,9440,8781,11222,11707,10449,9184,9040,9227,7031,5535,3635,1832,687,9409,9253,8686,9364,9002,9816,9739,8877,11429,11898,10547,9158,9292,9394,7622,6517,5059,3099,1754
Sandwell,E08000028,154937,159392,76867,189416,48046,12306,11112,9847,10298,10518,11225,11089,10253,10992,10844,9702,8272,7252,6743,5379,4292,2842,1387,584,11778,10533,9193,9677,10136,12047,11896,9828,11157,11302,9661,7943,7422,7047,6124,5161,4149,2670,1668
Solihull,E08000029,101369,107492,45274,121290,42297,6214,6426,6502,6741,5736,5561,5306,5364,7175,7820,7502,6316,5958,6349,4408,3413,2532,1464,582,5851,5853,6069,6466,5477,5650,5942,5963,7740,8262,7948,6302,6420,6696,4900,4391,3605,2450,1507
Walsall,E08000030,133805,138356,63885,160336,47940,9672,9056,8601,8770,8420,8978,8718,7768,9562,9478,8857,7486,7112,6817,5409,4300,2881,1347,573,9050,8640,8274,8590,8922,9252,8838,7677,9301,9638,8816,7640,7105,7210,6140,5322,4095,2447,1399
Wolverhampton,E08000031,124350,127207,56849,152748,41960,8964,7983,7222,8224,8981,9118,8641,7963,8961,8695,7816,6758,6234,5733,4552,3760,2717,1428,600,8494,7657,6924,7709,8894,9128,8557,7423,9015,8885,8068,6862,6421,5930,5108,4520,3767,2386,1459
Worcestershire,E10000034,281670,290498,114962,338882,118324,16299,16282,15863,17506,16513,15436,15502,15670,19781,21366,20172,18068,18782,18878,13171,10304,6819,3665,1593,15509,15362,14914,16440,15798,15428,16309,16287,20602,22092,20214,18580,19069,19266,13730,11246,9159,6262,4231
Bromsgrove,E07000234,46757,47987,19096,55293,20355,2535,2732,2799,3065,2446,2377,2256,2532,3359,3734,3491,3136,3074,3014,2217,1793,1245,650,302,2367,2584,2454,2676,2317,2188,2307,2692,3575,3956,3560,3124,3053,3144,2299,1979,1684,1205,823
Malvern Hills,E07000235,36644,38695,14147,41723,19469,1699,1947,2037,2456,1732,1490,1437,1576,2351,2757,2850,2564,2755,2905,2109,1749,1242,674,314,1700,1775,2059,2293,1642,1442,1635,1804,2434,3025,2873,2646,2891,3014,2212,1853,1556,1065,776
Redditch,E07000236,41953,42568,18798,52624,13099,2939,2758,2461,2536,2515,2800,3013,2824,2988,2947,2675,2604,2789,2419,1485,1024,681,359,136,2721,2613,2204,2442,2453,2865,3183,2682,3053,3029,2775,2814,2739,2373,1470,1162,931,639,420
Worcester,E07000237,49452,50953,21008,63690,15707,3285,2952,2733,3181,4226,3309,3506,3179,3755,3641,3361,2743,2586,2381,1694,1399,876,433,212,3182,2839,2603,3248,4313,3489,3630,3287,3593,3535,3185,2693,2644,2508,1897,1603,1285,843,576
Wychavon,E07000238,58317,60421,22762,68622,27354,2957,3254,3211,3424,2934,2833,2737,2892,3972,4643,4450,4054,4220,4384,3059,2406,1604,894,389,2946,3053,3120,3226,2631,2763,2909,3118,4378,4767,4531,4153,4208,4415,3199,2517,2126,1426,935
Wyre Forest,E07000239,48547,49874,19151,56930,22340,2884,2639,2622,2844,2660,2627,2553,2667,3356,3644,3345,2967,3358,3775,2607,1933,1171,655,240,2593,2498,2474,2555,2442,2681,2645,2704,3569,3780,3290,3150,3534,3812,2653,2132,1577,1084,701
EAST,E12000006,2929462,3024707,1275888,3566779,1111502,190840,180881,170770,183290,179252,184779,186444,181546,208436,218260,202054,173920,165307,169900,117023,96705,67556,36497,16002,182530,171712,162502,172529,170700,183963,192703,185811,213153,224342,204270,179027,173646,179435,128744,110759,89799,59886,39196
Bedford,E06000055,79445,81937,36756,97559,27067,5444,5119,5044,5495,4953,4687,5230,5119,5616,6057,5471,4680,4238,4175,2861,2318,1607,940,391,5259,4832,4593,4904,4827,5098,5694,5193,5857,6167,5585,4716,4437,4219,3035,2789,2295,1509,928
Central Bedfordshire,E06000056,130912,133616,58009,162368,44151,8583,8256,7692,8104,7180,8011,8067,8404,9838,10500,9888,8245,7489,7431,4833,3972,2579,1324,516,8406,7950,7386,7217,6800,7918,8946,8850,10132,10655,9883,8174,7803,7528,5283,4302,3213,1978,1192
Luton,E06000032,104734,103255,53679,129329,24981,8779,7963,6693,6872,8122,9795,9044,7208,6881,6721,6170,4914,4157,3507,2698,2544,1561,810,295,8333,7283,6523,6683,7623,8994,8623,6919,6674,6886,6050,4908,4190,3659,3035,2841,2120,1131,780
Peterborough,E06000031,93586,94787,45817,115912,26644,7837,6365,5696,5811,5992,7521,7559,6540,6768,6442,5831,4795,4473,4048,2803,2291,1614,845,355,7318,6162,5330,5534,5722,7646,7276,6311,6597,6576,5876,5152,4599,4232,3061,2714,2344,1489,848
Southend-on-Sea,E06000033,86114,89684,37869,105113,32816,5778,5326,4935,5389,4764,5284,6023,5606,6497,6464,6072,4925,4716,4813,3186,2736,1949,1144,507,5613,5067,4701,4979,4739,5697,5920,5781,6539,6574,5878,4854,4861,5179,3754,3158,2771,2127,1492
Thurrock,E06000034,79332,81517,39415,99619,21815,6155,5739,4943,5027,4698,5506,5694,5838,6208,6242,5187,4310,4083,3607,2255,1756,1181,649,254,5995,5659,4780,4872,4642,5906,6269,6009,6176,5993,4958,4175,3970,3826,2659,2099,1670,1197,662
Cambridgeshire,E10000003,315136,316959,130038,392217,109840,19588,18589,17499,19823,22876,21404,21300,20472,22782,23424,21118,18282,17518,17483,11782,9551,6456,3594,1595,18644,17329,16534,18889,20563,20106,21426,20223,22824,23301,21200,18493,18048,17843,12732,10531,8507,5824,3942
Cambridge,E07000008,65035,61445,21336,89908,15236,3621,3015,2610,4703,10260,7173,6128,4628,3987,3835,3209,2724,2453,2056,1505,1249,936,619,324,3426,2922,2453,4554,8708,5809,5345,4112,3688,3495,3059,2827,2500,2249,1610,1564,1331,1015,778
East Cambridgeshire,E07000009,41936,43462,18926,50645,15827,2968,2787,2566,2318,1843,2167,2662,2823,3294,3234,2972,2547,2468,2538,1743,1385,925,515,181,2768,2583,2279,2305,1809,2430,3053,2909,3295,3309,3029,2563,2590,2624,1765,1494,1273,851,533
Fenland,E07000010,47754,48975,19278,56683,20768,2817,2643,2599,2929,2622,2931,2790,2601,3251,3607,3243,3064,3086,3208,2255,1872,1309,662,265,2756,2412,2545,2791,2527,2884,2762,2549,3316,3521,3397,3147,3171,3219,2423,2075,1672,1093,715
Huntingdonshire,E07000011,85675,86381,36851,104637,30568,5372,5218,5111,5307,4698,5222,5139,5304,6514,6783,6331,5333,5134,5254,3383,2696,1623,856,397,5111,4796,4824,4895,4310,5074,5381,5395,6546,6839,6214,5314,5323,5236,3737,2840,2129,1428,989
South Cambridgeshire,E07000012,74736,76696,33647,90344,27441,4810,4926,4613,4566,3453,3911,4581,5116,5736,5965,5363,4614,4377,4427,2896,2349,1663,942,428,4583,4616,4433,4344,3209,3909,4885,5258,5979,6137,5501,4642,4464,4515,3197,2558,2102,1437,927
Essex,E10000012,691555,724850,298238,838990,279177,43289,42057,40881,43871,41091,40002,39930,41187,49189,52490,49102,42655,40287,42972,28931,24042,16826,8880,3873,41130,40089,38873,40708,39561,40519,42887,43213,51506,55045,50144,44296,43226,46494,32642,27693,22401,14742,9681
Basildon,E07000066,86605,91757,40797,107441,30124,6220,5798,5420,5679,5137,5541,5675,5589,6325,6518,6034,4952,4533,4544,2966,2593,1820,869,392,5848,5544,5160,5304,5243,5889,6210,5833,6544,6800,6255,5338,4849,4998,3624,3258,2539,1562,959
Braintree,E07000067,73096,76012,32671,89175,27262,4792,4641,4570,4426,3927,4148,4296,4502,5546,5711,5217,4617,4357,4374,2976,2201,1553,850,392,4509,4557,4106,4259,3840,4428,4510,4747,5627,5968,5224,4731,4590,4836,3073,2425,2055,1484,1043
Brentwood,E07000068,36080,38380,15396,43990,15074,2122,2081,2148,2320,1887,2039,1978,2244,2573,2885,2825,2293,2040,2158,1413,1284,957,575,258,1916,2108,2138,2231,1757,2021,2209,2406,2701,3150,2860,2332,2122,2318,1677,1605,1354,891,584
Castle Point,E07000069,43150,45420,16933,50591,21046,2128,2269,2438,2851,2514,2292,2055,2190,2851,3250,3160,2798,2865,3318,2237,1880,1239,553,262,2138,2209,2420,2543,2344,2182,2116,2365,3045,3294,3071,2920,3216,3654,2674,2107,1563,949,610
Chelmsford,E07000070,83867,86389,35635,103614,31007,5188,5133,4958,5051,4862,5500,5411,5448,6295,6401,5803,5113,4630,4850,3163,2715,1899,1014,433,4893,4836,4656,4791,4813,5295,5597,5534,6330,6658,5872,5276,4905,5284,3538,3103,2419,1586,1003
Colchester,E07000071,87847,89779,36922,110737,29967,5764,5305,4865,5712,7726,6189,5852,5666,6270,6173,5607,4572,4577,4719,3166,2581,1755,980,368,5455,4915,4596,5240,7131,5974,5961,5638,6284,6573,5630,4944,5040,5128,3523,2849,2283,1544,1071
Epping Forest,E07000072,61574,65596,26525,76180,24465,4054,3721,3489,3711,3590,3393,3633,3846,4416,4880,4531,3879,3501,3724,2423,2031,1542,819,391,3832,3525,3392,3417,3464,3645,4103,4101,4925,5171,4746,3953,3787,3911,2781,2394,2040,1434,975
Harlow,E07000073,40353,43019,19726,50738,12908,3274,2848,2401,2680,2279,2731,3070,2698,2780,2933,2797,2458,1932,1757,1221,1048,849,443,154,3164,2625,2319,2404,2411,3118,3230,2776,2987,3051,2943,2487,2068,1895,1519,1532,1339,741,410
Maldon,E07000074,30712,31454,12134,36086,13946,1568,1702,1815,1914,1504,1326,1314,1518,2105,2522,2384,2212,2287,2412,1576,1222,770,385,176,1472,1581,1718,1677,1381,1281,1476,1684,2284,2623,2337,2285,2250,2531,1622,1255,958,583,456
Rochford,E07000075,40989,42922,16916,48631,18364,2171,2353,2382,2753,2171,1986,1933,2335,3014,3318,3007,2700,2544,2885,1911,1610,1149,556,211,2118,2198,2376,2551,2074,1830,2208,2392,3214,3362,3130,2680,2747,3063,2163,1867,1465,960,524
Tendring,E07000076,66442,72279,25797,73175,39749,3519,3459,3649,4066,3558,2921,2706,2823,3897,4562,4523,4306,4590,5675,4259,3547,2433,1357,592,3462,3407,3447,3796,3298,2971,2991,3181,4267,4842,4842,4658,5231,6373,4683,3913,3223,2226,1468
Uttlesford,E07000077,40840,41843,18786,48632,15265,2489,2747,2746,2708,1936,1936,2007,2328,3117,3337,3214,2755,2431,2556,1620,1330,860,479,244,2323,2584,2545,2495,1805,1885,2276,2556,3298,3553,3234,2692,2421,2503,1765,1385,1163,782,578
Hertfordshire,E10000015,558540,582166,258414,695637,186655,39403,36767,34285,35024,32288,34569,37783,38611,41889,43620,39776,33090,28547,27219,18796,16045,11742,6320,2766,37569,35037,32849,33337,31958,36405,40518,39796,43332,45066,40257,33037,29238,29041,21449,19526,16147,10697,6907
Broxbourne,E07000095,45886,49099,21473,57101,16411,3219,2951,2950,2968,2748,2797,3096,2921,3312,3563,3189,2599,2315,2429,1692,1437,1034,490,176,3150,2932,2677,2826,2767,3119,3253,3087,3622,3894,3363,2795,2461,2606,2017,1775,1415,865,475
Dacorum,E07000096,72774,75422,33256,90593,24347,5232,4659,4255,4528,3911,4489,4809,5050,5556,5561,5324,4671,3949,3556,2386,2020,1539,907,372,4860,4408,4261,4301,3748,4643,5161,5076,5582,5659,5523,4614,4019,3830,2718,2513,2209,1429,868
